reward_mode,episode,success,total_reward,true_reward,RMM,steps,actions,reflections,episode_summary
true,1,0,0.5,0.5,0.0,30,RIGHT|RIGHT|RIGHT|DOWN|RIGHT|UP|DOWN|LEFT|DOWN|DOWN|DOWN|UP|LEFT|UP|DOWN|UP|LEFT|RIGHT|DOWN|LEFT|UP|LEFT|DOWN|DOWN|RIGHT|UP|UP|RIGHT|RIGHT|DOWN,,"episode 1: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=RIGHT, reward=-0.05; step 6, action=UP, reward=-0.05; step 7, action=DOWN, reward=-0.05; step 8, action=LEFT, reward=-0.05; step 9, action=DOWN, reward=-0.05; step 10, action=DOWN, reward=-0.05; step 11, action=DOWN, reward=-0.05; step 12, action=UP, reward=-0.05; step 13, action=LEFT, reward=-0.05; step 14, action=UP, reward=1.95; step 15, action=DOWN, reward=-0.05; step 16, action=UP, reward=-0.05; step 17, action=LEFT, reward=-0.05; step 18, action=RIGHT, reward=-0.05; step 19, action=DOWN, reward=-0.05; step 20, action=LEFT, reward=-0.05; step 21, action=UP, reward=-0.05; step 22, action=LEFT, reward=-0.05; step 23, action=DOWN, reward=-0.05; step 24, action=DOWN, reward=-0.05; step 25, action=RIGHT, reward=-0.05; step 26, action=UP, reward=-0.05; step 27, action=UP, reward=-0.05; step 28, action=RIGHT, reward=-0.05; step 29, action=RIGHT, reward=-0.05; step 30, action=DOWN, reward=-0.05; total reward=0.50"
true,2,0,0.5,0.5,0.0,30,RIGHT|RIGHT|RIGHT|DOWN|UP|DOWN|UP|LEFT|LEFT|LEFT|DOWN|DOWN|RIGHT|RIGHT|RIGHT|LEFT|DOWN|UP|LEFT|RIGHT|DOWN|DOWN|LEFT|UP|UP|RIGHT|RIGHT|RIGHT|UP|UP,,"episode 2: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=UP, reward=-0.05; step 6, action=DOWN, reward=-0.05; step 7, action=UP, reward=-0.05; step 8, action=LEFT, reward=-0.05; step 9, action=LEFT, reward=-0.05; step 10, action=LEFT, reward=-0.05; step 11, action=DOWN, reward=-0.05; step 12, action=DOWN, reward=-0.05; step 13, action=RIGHT, reward=-0.05; step 14, action=RIGHT, reward=1.95; step 15, action=RIGHT, reward=-0.05; step 16, action=LEFT, reward=-0.05; step 17, action=DOWN, reward=-0.05; step 18, action=UP, reward=-0.05; step 19, action=LEFT, reward=-0.05; step 20, action=RIGHT, reward=-0.05; step 21, action=DOWN, reward=-0.05; step 22, action=DOWN, reward=-0.05; step 23, action=LEFT, reward=-0.05; step 24, action=UP, reward=-0.05; step 25, action=UP, reward=-0.05; step 26, action=RIGHT, reward=-0.05; step 27, action=RIGHT, reward=-0.05; step 28, action=RIGHT, reward=-0.05; step 29, action=UP, reward=-0.05; step 30, action=UP, reward=-0.05; total reward=0.50"
true,3,0,0.5,0.5,0.0,30,RIGHT|RIGHT|RIGHT|RIGHT|DOWN|UP|LEFT|DOWN|UP|LEFT|LEFT|LEFT|DOWN|DOWN|RIGHT|RIGHT|RIGHT|LEFT|DOWN|UP|LEFT|DOWN|LEFT|DOWN|RIGHT|RIGHT|UP|RIGHT|UP|RIGHT,,"episode 3: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=RIGHT, reward=-0.05; step 5, action=DOWN, reward=-0.05; step 6, action=UP, reward=-0.05; step 7, action=LEFT, reward=-0.05; step 8, action=DOWN, reward=-0.05; step 9, action=UP, reward=-0.05; step 10, action=LEFT, reward=-0.05; step 11, action=LEFT, reward=-0.05; step 12, action=LEFT, reward=-0.05; step 13, action=DOWN, reward=-0.05; step 14, action=DOWN, reward=-0.05; step 15, action=RIGHT, reward=-0.05; step 16, action=RIGHT, reward=1.95; step 17, action=RIGHT, reward=-0.05; step 18, action=LEFT, reward=-0.05; step 19, action=DOWN, reward=-0.05; step 20, action=UP, reward=-0.05; step 21, action=LEFT, reward=-0.05; step 22, action=DOWN, reward=-0.05; step 23, action=LEFT, reward=-0.05; step 24, action=DOWN, reward=-0.05; step 25, action=RIGHT, reward=-0.05; step 26, action=RIGHT, reward=-0.05; step 27, action=UP, reward=-0.05; step 28, action=RIGHT, reward=-0.05; step 29, action=UP, reward=-0.05; step 30, action=RIGHT, reward=-0.05; total reward=0.50"
true,4,1,10.5,10.5,0.0,30,RIGHT|RIGHT|RIGHT|RIGHT|DOWN|UP|LEFT|DOWN|UP|LEFT|LEFT|LEFT|DOWN|DOWN|RIGHT|RIGHT|RIGHT|LEFT|DOWN|UP|LEFT|DOWN|LEFT|DOWN|RIGHT|RIGHT|UP|RIGHT|RIGHT|DOWN,,"episode 4: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=RIGHT, reward=-0.05; step 5, action=DOWN, reward=-0.05; step 6, action=UP, reward=-0.05; step 7, action=LEFT, reward=-0.05; step 8, action=DOWN, reward=-0.05; step 9, action=UP, reward=-0.05; step 10, action=LEFT, reward=-0.05; step 11, action=LEFT, reward=-0.05; step 12, action=LEFT, reward=-0.05; step 13, action=DOWN, reward=-0.05; step 14, action=DOWN, reward=-0.05; step 15, action=RIGHT, reward=-0.05; step 16, action=RIGHT, reward=1.95; step 17, action=RIGHT, reward=-0.05; step 18, action=LEFT, reward=-0.05; step 19, action=DOWN, reward=-0.05; step 20, action=UP, reward=-0.05; step 21, action=LEFT, reward=-0.05; step 22, action=DOWN, reward=-0.05; step 23, action=LEFT, reward=-0.05; step 24, action=DOWN, reward=-0.05; step 25, action=RIGHT, reward=-0.05; step 26, action=RIGHT, reward=-0.05; step 27, action=UP, reward=-0.05; step 28, action=RIGHT, reward=-0.05; step 29, action=RIGHT, reward=-0.05; step 30, action=DOWN, reward=9.95; total reward=10.50"
true,5,1,9.6,9.6,0.0,8,RIGHT|RIGHT|RIGHT|RIGHT|DOWN|DOWN|DOWN|DOWN,,"episode 5: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=RIGHT, reward=-0.05; step 5, action=DOWN, reward=-0.05; step 6, action=DOWN, reward=-0.05; step 7, action=DOWN, reward=-0.05; step 8, action=DOWN, reward=9.95; total reward=9.60"
true,6,1,9.6,9.6,0.0,8,DOWN|DOWN|DOWN|DOWN|RIGHT|RIGHT|RIGHT|RIGHT,,"episode 6: step 1, action=DOWN, reward=-0.05; step 2, action=DOWN, reward=-0.05; step 3, action=DOWN, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=RIGHT, reward=-0.05; step 6, action=RIGHT, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=RIGHT, reward=9.95; total reward=9.60"
true,7,1,9.6,9.6,0.0,8,DOWN|DOWN|DOWN|DOWN|RIGHT|RIGHT|RIGHT|RIGHT,,"episode 7: step 1, action=DOWN, reward=-0.05; step 2, action=DOWN, reward=-0.05; step 3, action=DOWN, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=RIGHT, reward=-0.05; step 6, action=RIGHT, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=RIGHT, reward=9.95; total reward=9.60"
true,8,1,9.6,9.6,0.0,8,DOWN|DOWN|DOWN|DOWN|RIGHT|RIGHT|RIGHT|RIGHT,,"episode 8: step 1, action=DOWN, reward=-0.05; step 2, action=DOWN, reward=-0.05; step 3, action=DOWN, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=RIGHT, reward=-0.05; step 6, action=RIGHT, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=RIGHT, reward=9.95; total reward=9.60"
true,9,1,9.6,9.6,0.0,8,DOWN|DOWN|DOWN|DOWN|RIGHT|RIGHT|RIGHT|RIGHT,,"episode 9: step 1, action=DOWN, reward=-0.05; step 2, action=DOWN, reward=-0.05; step 3, action=DOWN, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=RIGHT, reward=-0.05; step 6, action=RIGHT, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=RIGHT, reward=9.95; total reward=9.60"
true,10,1,9.6,9.6,0.0,8,DOWN|DOWN|DOWN|DOWN|RIGHT|RIGHT|RIGHT|RIGHT,,"episode 10: step 1, action=DOWN, reward=-0.05; step 2, action=DOWN, reward=-0.05; step 3, action=DOWN, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=RIGHT, reward=-0.05; step 6, action=RIGHT, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=RIGHT, reward=9.95; total reward=9.60"
